Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
GA,F5,0.14,477525836.97,454353549.92,436141217.89,413462068.77,385807413.11,364166958.34,349028563.77,335591582.2,325648577.27,309431743.12,296204834.9,285584528.64,272279631.21,262696465.54,252951556.75,244992555.2,238856202.57,233276838.36,226657329.17,221167777.68,213968160.15,204784051.49,199616781.21,194285473.3,191763960.36,186616279.09,178212407.84,176346167.91,172974381.68,169791384.17,163833196.62,159282710.31,155440677.0,151389052.06,147907753.05,146359802.06,144462959.24,138962867.68,136625676.62,134254981.16,132972684.4,130116910.44,127793802.51,126452591.51,122456421.32,121826504.67,119952038.62,118400222.02,115708939.03,111756846.64
GA,F8,0.13,-2818.21,-3557.93,-3882.9,-4066.67,-4234.76,-4339.34,-4512.64,-4649.21,-4694.54,-4754.01,-4909.38,-4917.2,-4974.18,-5035.33,-5123.33,-5188.38,-5327.88,-5369.32,-5408.82,-5502.44,-5549.46,-5601.04,-5626.67,-5662.62,-5697.13,-5699.1,-5768.46,-5792.93,-5792.93,-5817.81,-5853.25,-5873.01,-5906.74,-5942.28,-5982.08,-6004.4,-6042.91,-6072.03,-6105.9,-6142.44,-6177.43,-6188.14,-6212.85,-6248.77,-6271.08,-6286.78,-6292.04,-6315.88,-6353.84,-6395.88
PSO,F5,1.43,463641884.63,231110729.38,88054157.76,30339725.92,13974631.68,10991807.49,8985993.17,7930519.84,6634584.88,5706159.64,5114445.16,4566985.4,4140943.39,3684756.38,3384048.75,3057712.1,2749034.1,2386754.12,2170021.62,1864863.61,1599824.9,1440987.29,1328471.83,1182792.5,1043083.47,958679.48,841133.91,736028.4,668173.25,629469.72,587356.31,541030.09,497221.39,435787.86,414993.16,385886.44,348230.78,318520.69,287924.51,260207.44,233557.7,221157.84,200594.97,183964.07,170691.95,153794.31,139109.9,127958.54,115517.45,106585.2
PSO,F8,1.44,-3246.95,-3267.7,-3335.24,-3392.96,-3439.02,-3490.08,-3541.2,-3607.32,-3651.04,-3703.38,-3756.96,-3798.13,-3830.82,-3848.97,-3863.32,-3880.42,-3900.61,-3912.68,-3922.46,-3943.36,-3967.39,-3993.32,-4018.79,-4045.58,-4059.84,-4066.79,-4070.45,-4072.33,-4073.28,-4083.13,-4089.18,-4094.96,-4106.35,-4119.67,-4134.77,-4143.0,-4147.36,-4149.79,-4150.82,-4151.13,-4151.23,-4151.26,-4151.27,-4157.53,-4159.74,-4164.28,-4169.87,-4175.06,-4176.11,-4176.33
GWO,F5,1.52,488254856.01,368766832.71,252786593.37,176874412.19,114449668.51,85007071.41,57141613.22,38433224.92,23640696.02,15750708.48,9508649.69,6045513.27,3985150.16,2415240.68,1509477.35,1053929.58,704026.69,476824.47,307039.08,208738.87,141362.5,99839.76,69220.59,50955.11,38203.52,28909.28,22347.45,17898.1,14133.1,11532.0,9767.69,8390.92,7214.2,6269.72,5485.84,4813.08,4343.95,3838.36,3567.95,3274.15,3036.0,2841.53,2671.11,2531.63,2404.57,2313.85,2243.98,2181.33,2135.27,2108.66
GWO,F8,1.58,-2952.16,-3094.62,-3158.12,-3330.85,-3371.35,-3455.39,-3486.34,-3499.65,-3554.83,-3611.46,-3626.41,-3665.1,-3679.21,-3706.78,-3724.17,-3741.38,-3778.79,-3793.23,-3834.37,-3834.37,-3836.94,-3874.97,-3887.1,-3907.95,-3911.56,-3936.24,-3986.06,-3994.98,-4025.68,-4089.33,-4095.46,-4178.9,-4236.6,-4389.17,-4405.58,-4563.82,-4647.97,-4810.98,-5070.37,-5204.45,-5395.36,-5635.05,-5793.52,-6011.65,-6189.19,-6375.38,-6502.33,-6622.11,-6735.24,-6800.82
MVO,F5,1.42,468584189.67,432742828.93,379921169.9,345360328.85,321789691.78,292913739.82,255197027.41,221949113.69,198279002.37,176622335.51,153829481.84,132398606.09,120121893.23,105154584.84,91056606.13,77210388.39,66659274.73,58370293.39,50722548.57,42208362.97,37114761.81,32327203.76,28095036.77,23530559.88,19992190.53,17511461.85,15292684.17,13227078.39,11224704.58,9850416.79,8505318.89,7080123.95,5911700.61,4918115.53,4209341.01,3639448.1,3114852.85,2646937.65,2268413.8,1972435.85,1713144.53,1499718.92,1331931.69,1182087.7,1063196.3,968519.7,893411.71,840605.26,803514.83,786730.91
MVO,F8,1.33,-3150.92,-3443.09,-3582.33,-3795.53,-3919.65,-4046.81,-4139.25,-4207.55,-4238.47,-4281.48,-4371.3,-4388.97,-4516.73,-4543.86,-4623.02,-4754.51,-4882.52,-5072.26,-5141.44,-5287.89,-5336.44,-5466.88,-5612.33,-5743.99,-5935.51,-6128.88,-6369.92,-6474.52,-6727.58,-6889.26,-7235.5,-7416.6,-7617.21,-7848.79,-8098.58,-8366.13,-8557.46,-8772.82,-9045.48,-9298.17,-9489.48,-9721.52,-9904.21,-10071.21,-10235.39,-10415.64,-10570.79,-10697.45,-10785.86,-10831.12
