Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
GA,Rastrigin,0.0,125524.3,120572.21,117117.87,115875.92,114109.94,110526.02,107271.78,105670.36,103315.82,101312.54,97514.26,94832.0,93712.09,91254.43,90481.02,88967.13,87910.53,86290.72,84730.27,83784.42,82839.84,81755.92,80988.7,80169.48,79248.07,78556.86,77550.64,77173.21,76627.29,76305.24,75236.47,74008.33,72650.21,71876.87,71073.52,70098.39,69156.73,68368.31,67466.22,67158.68,66168.85,65576.6,64887.13,64342.19,63945.85,63308.86,63134.77,62235.73,61778.49,61704.7
PSO,Rastrigin,0.0,124114.52,115177.72,101063.05,88256.38,76559.8,66380.09,56070.42,46850.96,38277.0,30490.85,24002.94,18446.54,14058.06,10515.78,7938.18,6168.43,5032.92,4489.26,4222.84,3914.4,3643.51,3317.25,3090.91,2865.21,2695.76,2503.36,2312.3,2148.0,1971.75,1835.83,1690.83,1597.66,1480.48,1381.23,1281.37,1211.98,1117.46,1038.89,1002.52,939.8,887.41,837.89,793.07,757.38,722.34,679.68,657.59,618.59,596.03,567.13
GWO,Rastrigin,0.0,126025.46,100122.21,83295.23,66542.69,55403.15,44188.71,35466.2,28685.03,23533.93,18494.28,14300.99,11606.72,9247.88,7332.68,5694.91,4533.68,3612.05,2935.36,2342.64,1902.83,1569.74,1318.01,1085.8,927.43,800.7,700.85,610.37,539.34,484.31,436.4,406.65,378.19,345.65,313.78,295.12,281.79,270.85,257.87,244.73,235.17,225.1,211.52,197.62,186.19,165.1,145.18,127.8,109.77,88.14,72.15
MVO,Rastrigin,0.0,122545.18,115464.67,108482.01,102612.67,96720.47,90740.22,84878.01,80054.57,75165.24,69153.31,65956.01,61160.43,57157.3,54101.17,50917.29,47405.97,43667.82,40382.42,37581.22,35290.13,32616.6,29780.55,27745.21,25887.59,23795.06,22392.86,20791.17,19230.51,17926.43,16672.32,15345.59,14171.93,13255.12,12328.81,11465.05,10646.46,9860.15,9132.41,8553.59,8065.31,7550.82,7093.87,6684.45,6335.56,6012.59,5781.38,5566.64,5404.3,5327.59,5261.0
