Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
GA,Rastrigin,0.02,1567.39,1130.83,793.19,526.7,353.19,292.35,278.15,274.33,227.86,215.34,209.56,176.49,169.85,155.73,154.71,152.41,144.86,142.21,119.09,117.34,101.05,100.47,86.04,66.64,60.01,57.08,57.01,54.77,52.64,49.53,49.53,47.16,46.76,37.82,37.65,37.42,36.02,33.98,31.48,31.48,31.45,29.76,29.65,29.44,29.44,26.78,26.78,25.63,25.63,25.63
PSO,Rastrigin,0.02,1268.23,1226.18,1142.22,1025.22,870.97,660.28,484.07,338.87,233.29,162.18,108.28,74.41,46.66,27.29,17.05,11.75,7.85,6.51,5.95,5.18,5.01,4.37,3.54,2.95,2.71,2.5,2.4,2.34,2.25,2.0,1.74,1.62,1.55,1.45,1.43,1.36,1.31,1.24,1.19,1.16,1.14,1.12,1.06,1.04,1.01,0.94,0.92,0.86,0.82,0.78
GWO,Rastrigin,0.02,1105.61,410.18,169.22,67.42,33.46,18.28,10.83,7.36,5.74,4.5,3.86,3.21,2.94,2.68,2.48,2.23,2.01,1.92,1.73,1.51,1.49,1.47,1.41,1.36,1.33,1.33,1.32,1.3,1.3,1.27,1.21,1.16,1.16,1.15,1.14,1.14,1.14,1.14,1.14,1.13,1.13,1.13,1.13,1.12,1.12,1.12,1.12,1.12,1.12,1.12
MVO,Rastrigin,0.02,1209.64,766.18,431.26,322.57,240.37,142.68,82.57,68.72,51.52,38.52,30.7,26.22,24.35,21.01,18.19,16.4,15.72,15.09,14.42,14.22,13.44,12.81,11.58,10.9,10.03,9.33,8.59,8.23,8.07,7.56,7.09,6.75,6.71,6.28,5.84,5.71,5.52,5.52,4.93,4.62,4.34,4.05,3.54,3.14,2.86,2.64,2.41,2.19,2.19,1.93
