Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
GA,Fletcher,0.34407949447631836,9767808.99483012,9602418.71118209,10065618.990931753,9438842.309618851,8969683.322763216,7202595.41479825,8124204.453008245,7245308.043944263,9272601.038368206,9978402.677799614,7534087.905280512,9983423.919697683,10705109.509346742,8476668.487546492,5312993.202562744,8401311.629360994,9731938.633554686,9569651.362322928,7217393.441479619,7164253.248884253,7833353.0113898665,8705088.54770997,8572518.818050154,6507157.960114813,10131837.336762255,7787253.60690714,10597123.854821922,8983830.243821843,7734112.919696639,8047335.335606645,8304782.949529508,9072901.521861704,9324279.947690457,8706473.398346297,6578173.599636904,9719798.880312795,7025279.574955493,8910190.923065567,9354538.664235337,8916322.898795504,9014190.949643182,7098234.086935743,8670604.314217418,8457688.473932587,10038587.303184643,9307950.374850698,6924614.552934563,9788791.296665262,7641236.035473455,7999476.180653971
GA,Fletcher,0.33598828315734863,10149075.373083374,9314004.133002082,8580806.572243236,8271073.52438929,8657326.683467548,10491717.084097821,5661910.884793678,8144704.285090253,10343386.517664507,7650766.41666415,9348600.703855142,6992186.873723915,11748834.57990933,8961100.223612519,8896162.575109828,7096149.162613205,9960587.168421559,9670848.850040512,10330831.361381156,8010276.5176554695,9554372.307945682,10153572.21660452,5913229.1590523,9655076.591550108,9529069.518064694,10820431.020719536,7428436.384629246,9143832.17622861,9269735.143405281,6640610.290335093,9457409.39398969,6869554.496621909,10486745.638831034,7882607.892406213,6786442.468868536,8506786.659133818,8622615.990690673,8890690.659012355,9444708.356081048,7593911.632524511,7595699.166205387,8686373.293439219,11016574.163524318,6348592.890757036,8428187.571703818,9698174.900248723,5620751.694513699,9272481.002744557,8750687.586309075,9514803.21778462
GA,Fletcher,0.34707093238830566,5943317.24881861,8938967.793758951,5912809.698810227,8491099.1185428,11023461.401088169,9398192.324825484,7877599.43788279,6712731.94864728,7619890.375582172,6687062.499356105,9199453.096998762,8351026.139282567,8709795.836260386,7210323.2172551025,8006226.066488673,9430499.232438669,9155621.948560838,10795276.659336973,10813898.200647319,8169933.998679629,7066319.452782375,8384973.035981106,10103957.099784229,11435595.909499044,7541194.053476407,8544729.68461147,9513325.386930648,9338595.353905233,9192277.394643169,7400095.9597553015,10599127.08270109,7566715.299679088,6513841.580537099,8798742.744200265,7574665.828902051,8419299.430645362,7789851.691120552,8070259.63246725,8049233.165945636,8169877.591352013,8157029.085266081,7851637.646185711,7927659.704649588,8774316.633223027,7672671.337340921,7337925.658091441,8305218.194196807,9614686.362618446,7942328.459333997,10162032.294563808
GA,Fletcher,0.3590395450592041,8604417.563068269,9322685.495670991,11109803.456258008,8533879.061923452,8957121.35972593,6839275.554429026,9344057.498787541,9275263.73515898,6375589.2796883285,7307830.865672448,9568231.99085342,8383549.791903086,10021910.845252592,8540724.194941081,8384235.270257471,9409918.386917448,8294367.989571355,8964168.411924891,6740670.578737629,9221082.092643654,8762537.202866578,6561086.7748462595,9211735.354495274,7954759.614195985,8294687.782528884,8841453.042798072,8362693.725959896,7141051.728946205,9687206.655482342,9477452.29827184,8914091.272560246,10013483.397141965,8902299.737247698,8758844.5032364,9242743.40560933,9497502.241968814,6586093.491704458,10423022.46379944,8856220.908590466,8177321.387548906,8575476.387499819,7328076.963423439,7510448.684411924,7470077.716684421,8090669.361054601,7102692.465830427,10327148.981680565,10812161.130409213,8760038.71874066,10364932.890495785
GA,Fletcher,0.32414770126342773,9133800.91931028,7953576.937399687,6132449.416386775,8154640.1507703755,8688834.347782558,7235683.170465704,7217514.128271606,6022622.365858445,7514285.755332702,6623552.983407502,9934577.080885287,7103348.021541707,9664133.939285634,9343665.333990874,10231621.801172512,6654295.2369000595,6870462.321550218,7380308.006571197,8982680.830318483,9720105.169209154,8008024.117596937,8943253.591077162,8484747.164104253,7739258.30608376,9110727.51884262,9194372.060502911,9205951.26681306,8499135.312687917,9074058.014312094,9781596.219261434,9092507.511756614,9715217.289123038,9060563.890485704,8712187.092575101,8276889.94152599,9951038.498422872,7299522.968404438,7537238.327582454,9615782.623755679,8071840.954776415,9407092.648065625,9541821.727763373,6795706.3197311,8710304.927230591,9564587.850062365,8043289.111844547,8780980.849625163,8527731.03459579,6115574.281410246,8241620.952130623
GA,Fletcher,0.3809800148010254,7669987.034950253,10402301.05792061,8982940.091611693,8174701.030376073,8792565.240083767,7328043.77389037,8037242.242410867,8873124.280485183,8478898.977501553,7398257.978829719,7296697.896438603,8693661.137070468,6987257.94641368,10765895.277480582,8723328.077301249,8789745.083978806,9722365.369943405,11028932.3185791,8228800.508438084,7922219.964312686,8646672.91016505,7614685.429957138,8176844.654265185,7775765.658929189,7972134.595097234,5740302.638677957,9209190.728555545,9266875.632249456,9049775.927580232,6344300.999848702,7974066.920677385,8781870.099443141,7455084.726331564,7739466.53391832,7540203.692175486,8320993.987157231,8838630.224848723,8577755.474992897,6134085.390538648,6343968.94519824,9190776.14006948,10733531.184142226,10065640.534207728,7090151.651292618,9634433.547674825,9940613.491354132,6892248.527235723,8808971.96413715,7962754.893963843,10780368.60218126
GA,Fletcher,0.3265798091888428,7814297.545612249,6797819.451266643,9603655.301296525,9973264.546322774,7358786.8240294065,10173031.839728717,8705604.155508606,9694492.674892407,9113138.29134299,9208139.18771248,9374970.671848552,7514448.779452452,7600661.521453213,8099577.621808239,9568460.27833259,6603776.585546248,8584494.826561658,8148280.524523801,9729560.729437932,6993289.003559431,7619309.007531297,8361057.473225311,6847829.648827482,9896903.575102897,9013148.620208476,8948029.397685634,9894826.218878932,9601110.767883837,11086477.497955566,7332329.778816316,8324506.6183590265,6144989.605512913,8906367.81751284,8929169.388121858,9134102.406000085,8168759.2611374445,9476920.172994182,8747040.495493853,8443139.493905185,9264518.159312135,8185755.554380376,9922453.763438482,8126379.522218416,8224959.595317393,10536353.406212214,8233162.567071588,9966474.563852515,6421744.243719476,8735701.497615725,5674795.839760501
GA,Fletcher,0.3390922546386719,8481402.882110778,8186775.653208105,5658456.284154012,8259274.5099346,9546278.271647168,8388368.995259024,8766476.805086846,8660491.5796177,8879442.73918021,9455664.822260095,6645779.194097901,9803214.342650888,9018406.50003225,8163630.890501196,8699095.930660529,8710320.537523774,8865894.716942597,7402179.846190827,11137037.0362718,7786214.792565223,8912752.600659523,8225045.8233143985,9585678.501214808,9464445.355342243,8033270.852045542,11094520.13168944,6684891.507274004,9451406.989586268,8683780.024832092,9379869.716189431,4211641.533324311,9073966.098876568,8860232.908256626,10846295.098195774,9853892.799112372,7902555.762260484,7849226.321433841,9886088.847432012,9507933.182201559,10763704.208766805,7601787.963473579,8885741.190920325,6704675.043704994,9985509.221446501,9788600.55696827,8433634.950928137,7668521.6115018865,9660519.304572072,8837880.837022234,8606943.94693774
GA,Fletcher,0.3101825714111328,7993175.377937581,6507984.143981917,7355504.639744447,8135477.773499837,8950264.351828407,9534613.92595406,9014921.040210402,9466015.378642367,8654216.696759658,9420763.360821271,7531314.323210519,9027903.299742386,8564592.673124475,8353217.125216503,9717038.927140394,6417638.502814183,8445849.308115922,9941786.926718114,11126977.914452491,9867929.887128264,9624780.366236793,7930373.290933618,8050140.013173368,8345286.657999547,8555476.427935429,9068237.819747673,8190798.284238094,9973112.102373237,7894423.883486186,8896642.034043724,10322025.67961168,8261449.895530937,8525740.793782657,8051689.419923703,9091450.321359817,8568632.898211343,9045110.589777049,9051763.466602508,8984817.47329007,9890146.530425312,10502501.887050677,7967812.983197993,7840730.526667163,7557791.239613104,8640606.92554477,9926316.3440023,6729122.518181329,8512412.351967374,6588408.1560370745,8671574.160079408
GA,Fletcher,0.32213807106018066,8745082.174833464,9054055.35288856,8171101.6608507605,7522584.01517705,6589346.558239078,7484090.860936917,9281545.98090489,8618863.457275143,9472104.234586056,6666735.928413601,9421358.132143015,9279279.777154606,10583491.066324977,8847634.823707372,8116590.006249255,8396216.166394772,8446696.162485113,9255824.799810776,9642845.820862513,7745522.941886304,8589035.226784118,8922741.301001186,9216273.209517375,8964715.692284802,10542889.370473517,8758809.373790134,9836005.728927944,8822938.090679862,8692234.303397892,9903383.947812218,8497777.880938087,9300818.007449765,8279529.179477305,10102760.50844672,10656195.980860572,8574537.052964658,7862890.422864849,7651143.487772994,6620842.292880002,8378112.582874808,6950069.111825087,11314561.562385798,8840345.235536737,6973244.729528073,7532869.284280807,11081567.822612759,7655193.912193294,9699109.919335572,9365153.418450704,8156485.688998074
GA,Fletcher,0.3311140537261963,9192897.817138538,8905677.294944154,8895377.254292589,7391827.370066068,8927317.63460089,7998664.973406144,9693552.053401323,7443795.8192632375,6684773.478828242,9078616.366319923,8219585.131233838,9359619.172207698,8374305.90231996,7786904.294815868,6703195.427886005,12161008.194963878,9688141.758634517,8422809.661374204,10340928.811243337,9780361.006182145,9332419.322689207,10335031.345872996,9021184.192901757,8464407.477449402,8661988.731423644,8791846.640511777,9134009.902593162,6811748.8756544925,8877783.62824354,10433542.830691433,9335163.193986552,7821927.611958083,7531179.706715187,8798511.746175006,7994187.909353938,10072200.657807736,6605238.901878296,9170321.275911035,7547231.667790888,7266492.9542799285,8911429.156939648,8458144.284993986,9163239.298531532,9475389.53163742,7252057.676836349,10208690.382444615,8722995.624850249,10301496.620630067,7718985.817577886,7222023.185121818
