Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
GA,Fletcher,0.34,8885757.5,8584509.21,8418915.61,8495402.56,8783291.61,8791283.72,8756635.87,8543393.77,8569122.7,8386071.05,8660805.97,8415518.72,8934826.64,8078337.38,8458556.64,8277550.09,8416842.23,8630962.45,8763531.34,8544426.14,8305971.0,8884846.98,8406731.53,8568507.03,8662445.36,8844655.75,8682372.05,8858201.31,8881750.45,8341449.84,8457837.81,8554329.07,8234653.06,8726119.32,8489146.99,9004762.32,8447680.59,8739872.73,8185787.39,8420736.57,8583505.11,8663149.21,8515837.85,8483818.89,8327055.35,8647488.15,8045893.54,8571064.73,8256666.22,8388551.91
PSO,Fletcher,1.7,8561054.79,7747971.4,7491288.07,7315959.7,7268425.95,7055633.17,6709678.93,6602617.3,6248455.28,6231926.54,6188184.38,6154661.71,6006770.17,5974410.29,5972836.6,5962206.81,5937631.78,5901739.24,5885941.22,5885941.22,5885941.22,5869786.25,5824283.16,5824283.16,5815478.86,5815478.86,5789662.75,5751411.89,5751411.89,5751411.89,5751411.89,5676814.7,5634167.05,5634167.05,5628521.34,5622653.46,5622653.46,5622653.46,5586095.13,5583958.12,5583958.12,5583958.12,5583958.12,5583958.12,5583958.12,5523348.62,5523348.62,5523348.62,5454049.9,5428343.1
GWO,Fletcher,1.69,8754426.68,8044172.76,7768305.49,7647208.51,7349924.36,7256566.79,7141710.19,7029716.61,6919007.71,6774425.68,6663306.29,6601344.65,6522197.77,6492475.08,6464037.78,6431025.54,6409822.87,6332673.8,6332673.8,6332673.8,6116745.67,6071500.68,6062390.11,5955577.63,5895670.83,5884265.81,5856169.23,5856169.23,5838623.06,5807802.06,5807802.06,5803877.44,5799010.58,5777507.57,5691764.56,5666757.86,5666757.86,5666757.86,5666757.86,5654131.16,5654131.16,5654131.16,5654131.16,5654131.16,5654131.16,5654131.16,5625696.09,5625696.09,5622901.64,5622901.64
MVO,Fletcher,1.61,8438293.13,7769804.75,7431509.32,7212660.59,6909588.09,6690392.25,6626100.9,6536844.51,6458680.76,6374450.65,6374450.65,6369074.35,6318271.85,6313710.82,6310014.26,6296885.09,6281492.61,6249092.87,6215174.63,6187266.48,6165275.85,6165275.85,6119366.88,6048493.34,6042479.59,6000562.61,5977944.82,5936838.58,5906006.25,5867855.08,5867855.08,5863845.48,5816515.71,5781860.97,5781860.97,5781860.97,5746887.66,5743909.61,5743909.61,5720039.23,5720039.23,5685506.34,5659314.62,5638120.31,5583643.69,5583643.69,5583643.69,5572810.27,5572810.27,5572227.95
