Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
GA,Eggholder,0.2,-1636.47,-1966.83,-2183.94,-2325.52,-2430.07,-2586.19,-2637.95,-2696.56,-2794.03,-2833.76,-2877.39,-2921.95,-2937.92,-2941.98,-2956.77,-2983.16,-2993.06,-3008.5,-3035.0,-3043.39,-3046.19,-3054.09,-3082.79,-3089.23,-3099.64,-3111.27,-3121.41,-3148.17,-3163.13,-3217.5,-3232.19,-3232.99,-3232.99,-3246.71,-3264.11,-3283.1,-3283.1,-3287.51,-3311.29,-3315.74,-3337.16,-3337.16,-3337.84,-3374.42,-3384.17,-3413.98,-3422.9,-3436.6,-3449.28,-3456.94
PSO,Eggholder,1.08,-1698.99,-1742.13,-1804.14,-1874.68,-1982.06,-2077.64,-2118.73,-2156.42,-2203.1,-2240.19,-2260.21,-2310.16,-2347.37,-2393.19,-2413.2,-2426.36,-2453.46,-2482.26,-2505.57,-2525.96,-2548.15,-2559.14,-2570.03,-2576.38,-2587.97,-2593.86,-2597.1,-2601.58,-2606.97,-2611.27,-2613.92,-2625.52,-2634.88,-2640.44,-2643.96,-2644.3,-2645.05,-2652.63,-2656.23,-2659.42,-2661.95,-2665.91,-2676.56,-2687.61,-2694.09,-2700.15,-2707.93,-2711.43,-2732.54,-2761.25
GWO,Eggholder,1.1,-1670.77,-1905.25,-1997.64,-2075.93,-2161.91,-2249.26,-2318.75,-2336.05,-2433.08,-2491.6,-2532.1,-2595.71,-2635.31,-2712.18,-2754.14,-2794.06,-2805.24,-2871.52,-2927.31,-2972.87,-3026.65,-3084.7,-3145.86,-3258.91,-3301.99,-3346.17,-3415.14,-3506.46,-3526.9,-3564.2,-3615.64,-3683.52,-3738.97,-3816.89,-3884.94,-3963.44,-4041.47,-4114.35,-4180.58,-4258.61,-4344.46,-4419.89,-4498.31,-4580.82,-4651.26,-4709.69,-4783.03,-4844.25,-4902.93,-4938.58
MVO,Eggholder,0.93,-1694.26,-1856.96,-2025.05,-2110.34,-2183.34,-2321.23,-2501.96,-2567.9,-2681.62,-2771.97,-2868.19,-2914.48,-2965.03,-3100.92,-3105.63,-3178.05,-3266.92,-3380.63,-3480.33,-3545.55,-3618.28,-3681.5,-3737.45,-3768.81,-3877.57,-4006.45,-4105.72,-4231.31,-4342.99,-4449.45,-4530.93,-4622.41,-4699.87,-4781.25,-4900.68,-5049.28,-5177.92,-5275.22,-5370.53,-5460.43,-5544.12,-5634.1,-5715.59,-5792.0,-5878.01,-5953.88,-6010.82,-6066.46,-6103.06,-6126.15
