Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
GA,Rastrigin,0.07,533.0,347.23,277.19,200.87,152.32,122.95,102.45,94.27,77.4,73.8,61.15,59.77,57.26,54.32,53.41,45.42,39.48,34.66,33.17,31.73,31.19,29.89,28.16,26.49,25.4,24.83,23.09,22.32,21.84,21.03,20.75,20.56,20.56,20.22,20.17,20.17,19.84,19.69,18.29,18.26,18.09,18.09,17.7,17.7,17.7,17.7,16.22,16.13,15.98,15.62
PSO,Rastrigin,0.06,409.74,381.19,326.42,238.64,148.42,92.95,44.89,23.86,13.77,11.76,9.13,8.19,6.58,5.61,5.12,4.73,3.91,3.28,2.49,2.28,2.13,1.96,1.65,1.5,1.38,1.31,1.26,1.2,1.07,1.03,0.95,0.84,0.8,0.74,0.63,0.59,0.46,0.42,0.38,0.35,0.31,0.3,0.26,0.19,0.18,0.17,0.15,0.15,0.15,0.15
GWO,Rastrigin,0.05,424.52,103.21,33.74,16.86,8.57,5.0,3.96,3.15,2.15,1.93,1.4,1.22,1.06,0.91,0.87,0.74,0.65,0.58,0.54,0.51,0.51,0.49,0.48,0.48,0.48,0.48,0.46,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
MVO,Rastrigin,0.06,544.35,220.91,118.82,55.71,44.65,37.19,28.23,26.93,25.2,19.88,17.88,16.54,15.42,14.16,12.2,11.5,10.98,9.62,8.54,7.72,6.74,6.41,6.19,5.49,5.18,4.87,4.48,4.41,4.12,4.1,3.63,3.22,2.83,2.75,2.52,2.4,2.19,2.02,1.96,1.81,1.78,1.72,1.63,1.59,1.48,1.37,1.31,1.14,1.12,1.03
